"Command","Description","URL"
"curs_pad(3x)","create and display curses pads","./man3/curs_pad.3x.html"
"curs_print(3x)","ship binary data to printer","./man3/curs_print.3x.html"
"curs_printw(3x)","print formatted output in curses windows","./man3/curs_printw.3x.html"
"curs_refresh(3x)","refresh curses windows and lines","./man3/curs_refresh.3x.html"
"curs_scanw(3x)","convert formatted input from a curses window","./man3/curs_scanw.3x.html"
"curs_scr_dump(3x)","read (write) a curses screen from (to) a file","./man3/curs_scr_dump.3x.html"
"curs_scroll(3x)","scroll a curses window","./man3/curs_scroll.3x.html"
"curs_slk(3x)","curses soft label routines","./man3/curs_slk.3x.html"
"curs_sp_funcs(3x)","curses screen-pointer extension","./man3/curs_sp_funcs.3x.html"
"curs_termattrs(3x)","curses environment query routines","./man3/curs_termattrs.3x.html"
"curs_termcap(3x)","direct curses interface to the terminfo capability database","./man3/curs_termcap.3x.html"
"curs_terminfo(3x)","curses interfaces to terminfo database","./man3/curs_terminfo.3x.html"
"curs_threads(3x)","curses thread support","./man3/curs_threads.3x.html"
"curs_touch(3x)","curses refresh control routines","./man3/curs_touch.3x.html"
"curs_trace(3x)","curses debugging routines","./man3/curs_trace.3x.html"
"curs_util(3x)","miscellaneous curses utility routines","./man3/curs_util.3x.html"
"curs_variables(3x)","curses global variables","./man3/curs_variables.3x.html"
"curs_window(3x)","create curses windows","./man3/curs_window.3x.html"
"curvetun(8)","a lightweight curve25519 ip4/6 tunnel","./man8/curvetun.8.html"
"cuserid(3)","get username","./man3/cuserid.3.html"
"customizable_types(5)","The SELinux customizable types configuration file","./man5/customizable_types.5.html"
"cut(1)","remove sections from each line of files","./man1/cut.1.html"
"daemon(3)","run in the background","./man3/daemon.3.html"
"daemon(7)","Writing and packaging system daemons","./man7/daemon.7.html"
"danetool(1)","GnuTLS DANE tool","./man1/danetool.1.html"
"dash(1)","command interpreter (shell)","./man1/dash.1.html"
"date(1)","print or set the system date and time","./man1/date.1.html"
"daylight(3)","initialize time conversion information","./man3/daylight.3.html"
"db(3)","database access methods","./man3/db.3.html"
"dbopen(3)","database access methods","./man3/dbopen.3.html"
"dbpmda(1)","debugger for Performance Co-Pilot PMDAs","./man1/dbpmda.1.html"
"dbprobe(1)","database response time and availability information","./man1/dbprobe.1.html"
"dcgettext(3)","translate message","./man3/dcgettext.3.html"
"dcngettext(3)","translate message and choose plural form","./man3/dcngettext.3.html"
"dd(1)","convert and copy a file","./man1/dd.1.html"
"ddp(7)","Linux AppleTalk protocol implementation","./man7/ddp.7.html"
"deallocvt(1)","deallocate unused virtual consoles","./man1/deallocvt.1.html"
"deb-control(5)","Debian packages' master control file format","./man5/deb-control.5.html"
"deb-extra-override(5)","Debian archive extra override file","./man5/deb-extra-override.5.html"
"deb-old(5)","old style Debian binary package format","./man5/deb-old.5.html"
"deb-origin(5)","Vendor-specific information files","./man5/deb-origin.5.html"
"deb-override(5)","Debian archive override file","./man5/deb-override.5.html"
"deb-shlibs(5)","Debian shared library information file","./man5/deb-shlibs.5.html"
"deb-split(5)","Debian multi-part binary package format","./man5/deb-split.5.html"
"deb-src-control(5)","Debian source packages' master control file format","./man5/deb-src-control.5.html"
"deb-substvars(5)","Debian source substitution variables","./man5/deb-substvars.5.html"
"deb-symbols(5)","Debian's extended shared library information file","./man5/deb-symbols.5.html"
"deb-triggers(5)","package triggers","./man5/deb-triggers.5.html"
"deb-version(5)","Debian package version number format","./man5/deb-version.5.html"
"deb(5)","Debian binary package format","./man5/deb.5.html"
"debugfs(8)","ext2/ext3/ext4 file system debugger","./man8/debugfs.8.html"
"debuginfo-install(1)","install debuginfo packages and their dependencies","./man1/debuginfo-install.1.html"
"default_colors(3x)","use terminal's default colors","./man3/default_colors.3x.html"
"default_contexts(5)","The SELinux default contexts configuration file","./man5/default_contexts.5.html"
"default_type(5)","The SELinux default type configuration file","./man5/default_type.5.html"
"define_key(3x)","define a keycode","./man3/define_key.3x.html"
"delete_module(2)","unload a kernel module","./man2/delete_module.2.html"
"delpart(8)","tell the kernel to forget about a partition","./man8/delpart.8.html"
"depmod(8)","Generate modules.dep and map files.","./man8/depmod.8.html"
"depmod.d(5)","Configuration directory for depmod","./man5/depmod.d.5.html"
"des_crypt(3)","fast DES encryption","./man3/des_crypt.3.html"
"DES_FAILED(3)","fast DES encryption","./man3/DES_FAILED.3.html"
"des_setparity(3)","fast DES encryption","./man3/des_setparity.3.html"
"df(1)","report file system disk space usage","./man1/df.1.html"
"dgettext(3)","translate message","./man3/dgettext.3.html"
"diff(1)","compare files line by line","./man1/diff.1.html"
"diff3(1)","compare three files line by line","./man1/diff3.1.html"
"difftime(3)","calculate time difference","./man3/difftime.3.html"
"dir(1)","list directory contents","./man1/dir.1.html"
"dircolors(1)","color setup for ls","./man1/dircolors.1.html"
"dir_colors(5)","configuration file for dircolors(1)","./man5/dir_colors.5.html"
"dirfd(3)","get directory stream file descriptor","./man3/dirfd.3.html"
"dirname(1)","strip last component from file name","./man1/dirname.1.html"
"dirname(3)","parse pathname components","./man3/dirname.3.html"
"ditroff(7)","classical device independent roff","./man7/ditroff.7.html"
"div(3)","compute quotient and remainder of an integer division","./man3/div.3.html"
"dladdr(3)","programming interface to dynamic linking loader","./man3/dladdr.3.html"
"dlclose(3)","programming interface to dynamic linking loader","./man3/dlclose.3.html"
"dlerror(3)","programming interface to dynamic linking loader","./man3/dlerror.3.html"
"dl_iterate_phdr(3)","walk through list of shared objects","./man3/dl_iterate_phdr.3.html"
"dlltool(1)","Create files needed to build and use DLLs.","./man1/dlltool.1.html"
"dlopen(3)","programming interface to dynamic linking loader","./man3/dlopen.3.html"
"dlsym(3)","programming interface to dynamic linking loader","./man3/dlsym.3.html"
"dlvsym(3)","programming interface to dynamic linking loader","./man3/dlvsym.3.html"
"dmesg(1)","print or control the kernel ring buffer","./man1/dmesg.1.html"
"dmsetup(8)","low level logical volume management","./man8/dmsetup.8.html"
"dn_comp(3)","resolver routines","./man3/dn_comp.3.html"
"dn_expand(3)","resolver routines","./man3/dn_expand.3.html"
"dngettext(3)","translate message and choose plural form","./man3/dngettext.3.html"
"dnsdomainname(1)","show or set the system's host name","./man1/dnsdomainname.1.html"
"domainname(1)","show or set the system's host name","./man1/domainname.1.html"
"dpkg-architecture(1)","set and determine the architecture for package building","./man1/dpkg-architecture.1.html"
"dpkg-buildflags(1)","returns build flags to use during package build","./man1/dpkg-buildflags.1.html"
"dpkg-buildpackage(1)","build binary or source packages from sources","./man1/dpkg-buildpackage.1.html"
"dpkg-checkbuilddeps(1)","check build dependencies and conflicts","./man1/dpkg-checkbuilddeps.1.html"
"dpkg-deb(1)","Debian package archive (.deb) manipulation tool","./man1/dpkg-deb.1.html"
"dpkg-distaddfile(1)","add entries to debian/files","./man1/dpkg-distaddfile.1.html"
"dpkg-divert(1)","override a package's version of a file","./man1/dpkg-divert.1.html"
"dpkg-genchanges(1)","generate Debian .changes files","./man1/dpkg-genchanges.1.html"
"dpkg-gencontrol(1)","generate Debian control files","./man1/dpkg-gencontrol.1.html"
"dpkg-gensymbols(1)","generate symbols files (shared library dependency information)","./man1/dpkg-gensymbols.1.html"
"dpkg-maintscript-helper(1)","works around known dpkg limitations in maintainer scripts","./man1/dpkg-maintscript-helper.1.html"
"dpkg-mergechangelogs(1)","3-way merge of debian/changelog files","./man1/dpkg-mergechangelogs.1.html"
"dpkg-name(1)","rename Debian packages to full package names","./man1/dpkg-name.1.html"
"dpkg-parsechangelog(1)","parse Debian changelog files","./man1/dpkg-parsechangelog.1.html"
"dpkg-query(1)","a tool to query the dpkg database","./man1/dpkg-query.1.html"
"dpkg-scanpackages(1)","create Packages index files","./man1/dpkg-scanpackages.1.html"
"dpkg-scansources(1)","create Sources index files","./man1/dpkg-scansources.1.html"
"dpkg-shlibdeps(1)","generate shared library substvar dependencies","./man1/dpkg-shlibdeps.1.html"
"dpkg-source(1)","Debian source package (.dsc) manipulation tool","./man1/dpkg-source.1.html"
"dpkg-split(1)","Debian package archive split/join tool","./man1/dpkg-split.1.html"
"dpkg-statoverride(1)","override ownership and mode of files","./man1/dpkg-statoverride.1.html"
"dpkg-trigger(1)","a package trigger utility","./man1/dpkg-trigger.1.html"
"dpkg-vendor(1)","queries information about distribution vendors","./man1/dpkg-vendor.1.html"
"dpkg(1)","package manager for Debian","./man1/dpkg.1.html"
"dpkg.cfg(5)","dpkg configuration file","./man5/dpkg.cfg.5.html"
"dprintf(3)","print to a file descriptor","./man3/dprintf.3.html"
"dracut-catimages(8)","creates initial ramdisk image by concatenating images","./man8/dracut-catimages.8.html"
"dracut(8)","low-level tool for generating an initramfs image","./man8/dracut.8.html"
"dracut.bootup(7)","boot ordering in the initramfs","./man7/dracut.bootup.7.html"
"dracut.cmdline(7)","dracut kernel command line options","./man7/dracut.cmdline.7.html"
"dracut.conf(5)","configuration file(s) for dracut","./man5/dracut.conf.5.html"
"dracut.modules(7)","dracut modules","./man7/dracut.modules.7.html"
"drand48(3)","generate uniformly distributed pseudo-random numbers","./man3/drand48.3.html"
"drand48_r(3)","generate uniformly distributed pseudo-random numbers reentrantly","./man3/drand48_r.3.html"
"drem(3)","floating-point remainder function","./man3/drem.3.html"
"dremf(3)","floating-point remainder function","./man3/dremf.3.html"
"dreml(3)","floating-point remainder function","./man3/dreml.3.html"
"dselect(1)","Debian package management frontend","./man1/dselect.1.html"
"dselect.cfg(5)","dselect configuration file","./man5/dselect.cfg.5.html"
"dsp56k(4)","DSP56001 interface device","./man4/dsp56k.4.html"
"dtrace(1)","Dtrace compatible user application static probe generation tool.","./man1/dtrace.1.html"
"du(1)","estimate file space usage","./man1/du.1.html"
"dump-acct(8)","print an acct/pacct file in human-readable format","./man8/dump-acct.8.html"
"dump-utmp(8)","print an utmp file in human-readable format.","./man8/dump-utmp.8.html"
"dumpe2fs(8)","dump ext2/ext3/ext4 filesystem information","./man8/dumpe2fs.8.html"
"dumpkeys(1)","dump keyboard translation tables","./man1/dumpkeys.1.html"
"dup(2)","duplicate a file descriptor","./man2/dup.2.html"
"dup2(2)","duplicate a file descriptor","./man2/dup2.2.html"
"dup3(2)","duplicate a file descriptor","./man2/dup3.2.html"
"duplocale(3)","duplicate a locale object","./man3/duplocale.3.html"
"dysize(3)","get number of days for a given year","./man3/dysize.3.html"
"e2freefrag(8)","report free space fragmentation information","./man8/e2freefrag.8.html"
"e2fsck(8)","check a Linux ext2/ext3/ext4 file system","./man8/e2fsck.8.html"
"e2fsck.conf(5)","Configuration file for e2fsck","./man5/e2fsck.conf.5.html"
"e2image(8)","Save critical ext2/ext3/ext4 filesystem metadata to a file","./man8/e2image.8.html"
"e2label(8)","Change the label on an ext2/ext3/ext4 filesystem","./man8/e2label.8.html"
"e2undo(8)","Replay an undo log for an ext2/ext3/ext4 filesystem","./man8/e2undo.8.html"
"e4defrag(8)","online defragmenter for ext4 filesystem","./man8/e4defrag.8.html"
"eaccess(3)","check effective user's permissions for a file","./man3/eaccess.3.html"
"ecb_crypt(3)","fast DES encryption","./man3/ecb_crypt.3.html"
"echo(1)","display a line of text","./man1/echo.1.html"
"ecvt(3)","convert a floating-point number to a string","./man3/ecvt.3.html"
"ecvt_r(3)","convert a floating-point number to a string","./man3/ecvt_r.3.html"
"edata(3)","end of program segments","./man3/edata.3.html"
"edquota(8)","edit user quotas","./man8/edquota.8.html"
"eject(1)","eject removable media","./man1/eject.1.html"
"elf(5)","format of Executable and Linking Format (ELF) files","./man5/elf.5.html"
"elfedit(1)","Update the ELF header of ELF files.","./man1/elfedit.1.html"
"encrypt(3)","encrypt 64-bit messages","./man3/encrypt.3.html"
"encrypt_r(3)","encrypt 64-bit messages","./man3/encrypt_r.3.html"
"end(3)","end of program segments","./man3/end.3.html"
"endaliasent(3)","read an alias entry","./man3/endaliasent.3.html"
"endfsent(3)","handle fstab entries","./man3/endfsent.3.html"
"endgrent(3)","get group file entry","./man3/endgrent.3.html"
"endhostent(3)","get network host entry","./man3/endhostent.3.html"
"endian(3)","convert values between host and big-/little-endian byte order","./man3/endian.3.html"
"endmntent(3)","get filesystem descriptor file entry","./man3/endmntent.3.html"
"endnetent(3)","get network entry","./man3/endnetent.3.html"
"endnetgrent(3)","handle network group entries","./man3/endnetgrent.3.html"
"endprotoent(3)","get protocol entry","./man3/endprotoent.3.html"
"endpwent(3)","get password file entry","./man3/endpwent.3.html"
"endrpcent(3)","get RPC entry","./man3/endrpcent.3.html"
"endservent(3)","get service entry","./man3/endservent.3.html"
"endspent(3)","get shadow password file entry","./man3/endspent.3.html"
"endttyent(3)","get ttys file entry","./man3/endttyent.3.html"
"endusershell(3)","get permitted user shells","./man3/endusershell.3.html"
"endutent(3)","access utmp file entries","./man3/endutent.3.html"
"endutxent(3)","access utmp file entries","./man3/endutxent.3.html"
"env(1)","run a program in a modified environment","./man1/env.1.html"
"environ(7)","user environment","./man7/environ.7.html"
"envsubst(1)","substitutes environment variables in shell format strings","./man1/envsubst.1.html"
"envz(3)","environment string support","./man3/envz.3.html"
"envz_add(3)","environment string support","./man3/envz_add.3.html"
"envz_entry(3)","environment string support","./man3/envz_entry.3.html"
"envz_get(3)","environment string support","./man3/envz_get.3.html"
"envz_merge(3)","environment string support","./man3/envz_merge.3.html"
"envz_remove(3)","environment string support","./man3/envz_remove.3.html"
"envz_strip(3)","environment string support","./man3/envz_strip.3.html"
"epoll(7)","I/O event notification facility","./man7/epoll.7.html"
"epoll_create(2)","open an epoll file descriptor","./man2/epoll_create.2.html"
"epoll_create1(2)","open an epoll file descriptor","./man2/epoll_create1.2.html"
"epoll_ctl(2)","control interface for an epoll descriptor","./man2/epoll_ctl.2.html"
"epoll_pwait(2)","wait for an I/O event on an epoll file descriptor","./man2/epoll_pwait.2.html"
"epoll_wait(2)","wait for an I/O event on an epoll file descriptor","./man2/epoll_wait.2.html"
"eqn(1)","format equations for troff or MathML","./man1/eqn.1.html"
"eqn2graph(1)","convert an EQN equation into a cropped image","./man1/eqn2graph.1.html"
"erand48(3)","generate uniformly distributed pseudo-random numbers","./man3/erand48.3.html"
"erand48_r(3)","generate uniformly distributed pseudo-random numbers reentrantly","./man3/erand48_r.3.html"
"erf(3)","error function","./man3/erf.3.html"
"erfc(3)","complementary error function","./man3/erfc.3.html"
"erfcf(3)","complementary error function","./man3/erfcf.3.html"
"erfcl(3)","complementary error function","./man3/erfcl.3.html"
"erff(3)","error function","./man3/erff.3.html"
"erfl(3)","error function","./man3/erfl.3.html"
"err(3)","formatted error messages","./man3/err.3.html"
"errno(3)","number of last error","./man3/errno.3.html"
"error(3)","glibc error reporting functions","./man3/error.3.html"
"error::buildid(7stap)","build-id verification failures","./man7/error::buildid.7stap.html"
"error::dwarf(7stap)","dwarf debuginfo quality problems","./man7/error::dwarf.7stap.html"
"error::fault(7stap)","memory access faults","./man7/error::fault.7stap.html"
"error::inode-uprobes(7stap)","limitations of inode-uprobes","./man7/error::inode-uprobes.7stap.html"
"error::pass1(7stap)","systemtap pass-1 errors","./man7/error::pass1.7stap.html"
"error::pass2(7stap)","systemtap pass-2 errors","./man7/error::pass2.7stap.html"
"error::pass3(7stap)","systemtap pass-3 errors","./man7/error::pass3.7stap.html"
"error::pass4(7stap)","systemtap pass-4 errors","./man7/error::pass4.7stap.html"
"error::pass5(7stap)","systemtap pass-5 errors","./man7/error::pass5.7stap.html"
"error::process-tracking(7stap)","process-tracking facilities are not available","./man7/error::process-tracking.7stap.html"
"error::reporting(7stap)","systemtap error reporting","./man7/error::reporting.7stap.html"
"error::sdt(7stap)","<sys/sdt.h> marker failures","./man7/error::sdt.7stap.html"
"error_at_line(3)","glibc error reporting functions","./man3/error_at_line.3.html"
"error_message_count(3)","glibc error reporting functions","./man3/error_message_count.3.html"
"error_one_per_line(3)","glibc error reporting functions","./man3/error_one_per_line.3.html"
"error_print_progname(3)","glibc error reporting functions","./man3/error_print_progname.3.html"
"errx(3)","formatted error messages","./man3/errx.3.html"
"etext(3)","end of program segments","./man3/etext.3.html"
"ether_aton(3)","Ethernet address manipulation routines","./man3/ether_aton.3.html"
"ether_aton_r(3)","Ethernet address manipulation routines","./man3/ether_aton_r.3.html"
"ether_hostton(3)","Ethernet address manipulation routines","./man3/ether_hostton.3.html"
"ether_line(3)","Ethernet address manipulation routines","./man3/ether_line.3.html"
"ether_ntoa(3)","Ethernet address manipulation routines","./man3/ether_ntoa.3.html"
"ether_ntoa_r(3)","Ethernet address manipulation routines","./man3/ether_ntoa_r.3.html"
"ether_ntohost(3)","Ethernet address manipulation routines","./man3/ether_ntohost.3.html"
"ethers(5)","Ethernet address to IP number database","./man5/ethers.5.html"
"ethtool(8)","query or control network driver and hardware settings","./man8/ethtool.8.html"
"euidaccess(3)","check effective user's permissions for a file","./man3/euidaccess.3.html"
"evdns(3)","asynchronous functions for DNS resolution.","./man3/evdns.3.html"
"event(3)","execute a function when a specific event occurs","./man3/event.3.html"
"eventfd(2)","create a file descriptor for event notification","./man2/eventfd.2.html"
"eventfd2(2)","create a file descriptor for event notification","./man2/eventfd2.2.html"
"eventfd_read(3)","create a file descriptor for event notification","./man3/eventfd_read.3.html"
"eventfd_write(3)","create a file descriptor for event notification","./man3/eventfd_write.3.html"
"exec(3)","execute a file","./man3/exec.3.html"
"execl(3)","execute a file","./man3/execl.3.html"
"execle(3)","execute a file","./man3/execle.3.html"
"execlp(3)","execute a file","./man3/execlp.3.html"
"execstack(8)","tool to set, clear, or query executable stack flag of ELF binaries and shared libraries","./man8/execstack.8.html"
"execv(3)","execute a file","./man3/execv.3.html"
"execve(2)","execute program","./man2/execve.2.html"
"execveat(2)","execute program relative to a directory file descriptor","./man2/execveat.2.html"
"execvp(3)","execute a file","./man3/execvp.3.html"
"execvpe(3)","execute a file","./man3/execvpe.3.html"
"exit(2)","terminate the calling process","./man2/exit.2.html"
"_Exit(2)","terminate the calling process","./man2/_Exit.2.html"
"_exit(2)","terminate the calling process","./man2/_exit.2.html"
"exit(3)","cause normal process termination","./man3/exit.3.html"
"exit_group(2)","exit all threads in a process","./man2/exit_group.2.html"
"exp(3)","base-e exponential function","./man3/exp.3.html"
"exp10(3)","base-10 exponential function","./man3/exp10.3.html"
"exp10f(3)","base-10 exponential function","./man3/exp10f.3.html"
"exp10l(3)","base-10 exponential function","./man3/exp10l.3.html"
"exp2(3)","base-2 exponential function","./man3/exp2.3.html"
"exp2f(3)","base-2 exponential function","./man3/exp2f.3.html"
"exp2l(3)","base-2 exponential function","./man3/exp2l.3.html"
"expand(1)","convert tabs to spaces","./man1/expand.1.html"
"expect(1)","programmed dialogue with interactive programs, Version 5","./man1/expect.1.html"
"expf(3)","base-e exponential function","./man3/expf.3.html"
"expiry(1)","check and enforce password expiration policy","./man1/expiry.1.html"
"expl(3)","base-e exponential function","./man3/expl.3.html"
"expm1(3)","exponential minus 1","./man3/expm1.3.html"
"expm1f(3)","exponential minus 1","./man3/expm1f.3.html"
"expm1l(3)","exponential minus 1","./man3/expm1l.3.html"
"exportfs(8)","maintain table of exported NFS file systems","./man8/exportfs.8.html"
"exports(5)","NFS server export table","./man5/exports.5.html"
"expr(1)","evaluate expressions","./man1/expr.1.html"
"ext4(5)","the second extended file system","./man5/ext4.5.html"
"fabs(3)","absolute value of floating-point number","./man3/fabs.3.html"
"fabsf(3)","absolute value of floating-point number","./man3/fabsf.3.html"
"fabsl(3)","absolute value of floating-point number","./man3/fabsl.3.html"
"faccessat(2)","check user's permissions for a file","./man2/faccessat.2.html"
"factor(1)","factor numbers","./man1/factor.1.html"
"fadvise64(2)","predeclare an access pattern for file data","./man2/fadvise64.2.html"
"fadvise64_64(2)","predeclare an access pattern for file data","./man2/fadvise64_64.2.html"
"faillog(5)","login failure logging file","./man5/faillog.5.html"
"faillog(8)","display faillog records or set login failure limits","./man8/faillog.8.html"
"failsafe_context(5)","The SELinux fail safe context configuration file","./man5/failsafe_context.5.html"
"fallocate(1)","preallocate or deallocate space to a file","./man1/fallocate.1.html"
"fallocate(2)","manipulate file space","./man2/fallocate.2.html"
"false(1)","do nothing, unsuccessfully","./man1/false.1.html"
"fanotify(7)","monitoring filesystem events","./man7/fanotify.7.html"
"fanotify_init(2)","create and initialize fanotify group","./man2/fanotify_init.2.html"
"fanotify_mark(2)","add, remove, or modify an fanotify mark on a filesystem object","./man2/fanotify_mark.2.html"
"fattach(2)","unimplemented system calls","./man2/fattach.2.html"
"__fbufsize(3)","interfaces to stdio FILE structure","./man3/__fbufsize.3.html"
"fchdir(2)","change working directory","./man2/fchdir.2.html"
"fchmod(2)","change permissions of a file","./man2/fchmod.2.html"
"fchmodat(2)","change permissions of a file","./man2/fchmodat.2.html"
"fchown(2)","change ownership of a file","./man2/fchown.2.html"
"fchown32(2)","change ownership of a file","./man2/fchown32.2.html"
"fchownat(2)","change ownership of a file","./man2/fchownat.2.html"
"fclose(3)","close a stream","./man3/fclose.3.html"
"fcloseall(3)","close all open streams","./man3/fcloseall.3.html"
"fcntl(2)","manipulate file descriptor","./man2/fcntl.2.html"
"fcntl64(2)","manipulate file descriptor","./man2/fcntl64.2.html"
"fcvt(3)","convert a floating-point number to a string","./man3/fcvt.3.html"
"fcvt_r(3)","convert a floating-point number to a string","./man3/fcvt_r.3.html"
"fd(4)","floppy disk device","./man4/fd.4.html"
"fdatasync(2)","synchronize a file's in-core state with storage device","./man2/fdatasync.2.html"
"FD_CLR(3)","synchronous I/O multiplexing","./man3/FD_CLR.3.html"
"fdetach(2)","unimplemented system calls","./man2/fdetach.2.html"
"fdformat(8)","low-level format a floppy disk","./man8/fdformat.8.html"
"fdim(3)","positive difference","./man3/fdim.3.html"
"fdimf(3)","positive difference","./man3/fdimf.3.html"
"fdiml(3)","positive difference","./man3/fdiml.3.html"
"fdisk(8)","manipulate disk partition table","./man8/fdisk.8.html"
"FD_ISSET(3)","synchronous I/O multiplexing","./man3/FD_ISSET.3.html"
"fdopen(3)","stream open functions","./man3/fdopen.3.html"
"fdopendir(3)","open a directory","./man3/fdopendir.3.html"
"FD_SET(3)","synchronous I/O multiplexing","./man3/FD_SET.3.html"
"FD_ZERO(3)","synchronous I/O multiplexing","./man3/FD_ZERO.3.html"
"feature_test_macros(7)","feature test macros","./man7/feature_test_macros.7.html"
"feclearexcept(3)","floating-point rounding and exception handling","./man3/feclearexcept.3.html"
"fedisableexcept(3)","floating-point rounding and exception handling","./man3/fedisableexcept.3.html"
"feenableexcept(3)","floating-point rounding and exception handling","./man3/feenableexcept.3.html"
"fegetenv(3)","floating-point rounding and exception handling","./man3/fegetenv.3.html"
"fegetexcept(3)","floating-point rounding and exception handling","./man3/fegetexcept.3.html"
"fegetexceptflag(3)","floating-point rounding and exception handling","./man3/fegetexceptflag.3.html"
"fegetround(3)","floating-point rounding and exception handling","./man3/fegetround.3.html"
"feholdexcept(3)","floating-point rounding and exception handling","./man3/feholdexcept.3.html"
"fenv(3)","floating-point rounding and exception handling","./man3/fenv.3.html"
"feof(3)","check and reset stream status","./man3/feof.3.html"
"feof_unlocked(3)","nonlocking stdio functions","./man3/feof_unlocked.3.html"
"feraiseexcept(3)","floating-point rounding and exception handling","./man3/feraiseexcept.3.html"
"ferror(3)","check and reset stream status","./man3/ferror.3.html"
"ferror_unlocked(3)","nonlocking stdio functions","./man3/ferror_unlocked.3.html"
"fesetenv(3)","floating-point rounding and exception handling","./man3/fesetenv.3.html"
"fesetexceptflag(3)","floating-point rounding and exception handling","./man3/fesetexceptflag.3.html"
"fesetround(3)","floating-point rounding and exception handling","./man3/fesetround.3.html"
"fetestexcept(3)","floating-point rounding and exception handling","./man3/fetestexcept.3.html"
"feupdateenv(3)","floating-point rounding and exception handling","./man3/feupdateenv.3.html"
"fexecve(3)","execute program specified via file descriptor","./man3/fexecve.3.html"
"fflush(3)","flush a stream","./man3/fflush.3.html"
"fflush_unlocked(3)","nonlocking stdio functions","./man3/fflush_unlocked.3.html"
"ffs(3)","find first bit set in a word","./man3/ffs.3.html"
"ffsl(3)","find first bit set in a word","./man3/ffsl.3.html"
"ffsll(3)","find first bit set in a word","./man3/ffsll.3.html"
"fgconsole(1)","print the number of the active VT.","./man1/fgconsole.1.html"
"fgetc(3)","input of characters and strings","./man3/fgetc.3.html"
"fgetc_unlocked(3)","nonlocking stdio functions","./man3/fgetc_unlocked.3.html"
"fgetfilecon(3)","get SELinux security context of a file","./man3/fgetfilecon.3.html"
"fgetfilecon_raw(3)","get SELinux security context of a file","./man3/fgetfilecon_raw.3.html"
"fgetgrent(3)","get group file entry","./man3/fgetgrent.3.html"
"fgetgrent_r(3)","get group file entry reentrantly","./man3/fgetgrent_r.3.html"
"fgetpos(3)","reposition a stream","./man3/fgetpos.3.html"
"fgetpwent(3)","get password file entry","./man3/fgetpwent.3.html"
"fgetpwent_r(3)","get passwd file entry reentrantly","./man3/fgetpwent_r.3.html"
"fgets(3)","input of characters and strings","./man3/fgets.3.html"
"fgetspent(3)","get shadow password file entry","./man3/fgetspent.3.html"
"fgetspent_r(3)","get shadow password file entry","./man3/fgetspent_r.3.html"
"fgets_unlocked(3)","nonlocking stdio functions","./man3/fgets_unlocked.3.html"
"fgetwc(3)","read a wide character from a FILE stream","./man3/fgetwc.3.html"
"fgetwc_unlocked(3)","nonlocking stdio functions","./man3/fgetwc_unlocked.3.html"
"fgetws(3)","read a wide-character string from a FILE stream","./man3/fgetws.3.html"
"fgetws_unlocked(3)","nonlocking stdio functions","./man3/fgetws_unlocked.3.html"
"fgetxattr(2)","retrieve an extended attribute value","./man2/fgetxattr.2.html"
"fifo(7)","first-in first-out special file, named pipe","./man7/fifo.7.html"
"file-hierarchy(7)","File system hierarchy overview","./man7/file-hierarchy.7.html"
"file(1)","determine file type","./man1/file.1.html"
"file_contexts(5)","userspace SELinux labeling interface and configuration file format for the file contexts backend","./man5/file_contexts.5.html"
"file_contexts.homedirs(5)","userspace SELinux labeling interface and configuration file format for the file contexts backend","./man5/file_contexts.homedirs.5.html"
"file_contexts.local(5)","userspace SELinux labeling interface and configuration file format for the file contexts backend","./man5/file_contexts.local.5.html"
"file_contexts.subs(5)","userspace SELinux labeling interface and configuration file format for the file contexts backend","./man5/file_contexts.subs.5.html"
"file_contexts.subs_dist(5)","userspace SELinux labeling interface and configuration file format for the file contexts backend","./man5/file_contexts.subs_dist.5.html"
"filefrag(8)","report on file fragmentation","./man8/filefrag.8.html"
"fileno(3)","check and reset stream status","./man3/fileno.3.html"
"fileno_unlocked(3)","nonlocking stdio functions","./man3/fileno_unlocked.3.html"
"filesystems(5)","Linux filesystem types: ext, ext2, ext3, ext4, hpfs, iso9660, JFS, minix, msdos, ncpfs nfs, ntfs, proc, Reiserfs, smb, sysv, umsdos, vfat, XFS, xiafs,","./man5/filesystems.5.html"
"filter(7)","cups file conversion filter interface","./man7/filter.7.html"
"find-repos-of-install(1)","report which Yum repository a package was installed from","./man1/find-repos-of-install.1.html"
"find(1)","search for files in a directory hierarchy","./man1/find.1.html"
"findfs(8)","find a filesystem by label or UUID","./man8/findfs.8.html"
"find_key_by_type_and_name(3)","Find a key by type and name","./man3/find_key_by_type_and_name.3.html"
"findmnt(8)","find a filesystem","./man8/findmnt.8.html"
"fini_selinuxmnt(3)","initialize the global variable selinux_mnt","./man3/fini_selinuxmnt.3.html"
"finite(3)","BSD floating-point classification functions","./man3/finite.3.html"
"finitef(3)","BSD floating-point classification functions","./man3/finitef.3.html"
"finitel(3)","BSD floating-point classification functions","./man3/finitel.3.html"
"finit_module(2)","load a kernel module","./man2/finit_module.2.html"
"__flbf(3)","interfaces to stdio FILE structure","./man3/__flbf.3.html"
"flistxattr(2)","list extended attribute names","./man2/flistxattr.2.html"
"flock(1)","manage locks from shell scripts","./man1/flock.1.html"
"flock(2)","apply or remove an advisory lock on an open file","./man2/flock.2.html"
